Source (EN)	Baseline (GE)	Finetuned (GE)	Reference (GE)
As always, Christ is our exemplar. In His teachings as in His life, He showed us the way. He forgave the wicked, the vulgar, and those who sought to hurt and to do Him harm.	ქრისტე არის ჩვენი მაგალითი, როგორც ყოველთვის. როგორც თავის სწავლებაში, ისე თავის ცხოვრებაში მან გვაჩვენა გზა.	ქრისტე, როგორც ყოველთვის, არის ჩვენი მაგალითი. როგორც თავის სწავლებაში, ისე ცხოვრებაში მან გვიჩვენა გზა. მან პატიება მიაწოდა ბოროტებს, უხეშებს და მათ, ვინც ცდილობდა, ზიანი მიაყენებინა მას.	ქრისტე, როგორც ყოველთვის, ჩვენი მაგალითია. მის სწავლებებსა თუ ცხოვრებაში მან გზა გვიჩვენა. ის შეუნდობდა ცოდვილებს, ბოროტებს და მათაც კი, ვისაც მისთვის ზიანის მიყენება სურდათ.
Jesus said it is easy to love those who love us; even the wicked can do that. But Jesus Christ taught a higher law. His words echo through the centuries and are meant for us today. They are meant for all who desire to be His disciples. They are meant for you and me: “Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you.”	იესო ამბობს, რომ ადვილია გვიყვარდეს ისინი, ვინც გვიყვარს. ბოროტებსაც კი ეს შეუძლიათ. მაგრამ იესო ქრისტე უმაღლეს კანონს ასწავლიდა. მისი სიტყვები საუკუნეების განმავლობაში ხმას აგებს და დღეს ჩვენთვისაა განკუთვნილი. ისინი განკუთვნილია ყველა მათთვის, ვისაც სურს მისი მოწაფეები გახდეს. ისინი განკუთვნილია შენთვის და ჩემთვის:  მოყვარდი შენს მტრებს, აკურთხე მათ, ვინც დაგვძახებს, კეთილი საქმე გააკეთე მათ, ვინც გაძულხარ, და ილოცე მათთვის, ვინც გაურაცებ და დევნის.	იესო ამბობს, რომ ადვილია, გიყვარდეს ისინი, ვინც გვიყვარს; ბოროტებსაც კი შეუძლიათ, ეს გააკეთონ. მაგრამ იესო ქრისტემ უმაღლესი კანონი ასწავლა. მისი სიტყვები საუკუნეების მანძილზე აისახება და ჩვენთვისაა განკუთვნილი დღეს. ისინი განკუთვნილია ყველასთვის, ვისაც სურს მისი მოწაფეები გახდე. ისინი განკუთვნილია ჩემთვის და შენთვის: შეიყვარეთ თქვენი მტრები, დალოცეთ მათ, ვინც დაგლოცავთ, კეთილი ქნათ მათ, ვინც გაძულებთ, და ილოცეთ მათთვის, ვინც თქვენზე ბოროტად იყენებს და დევნის 	იესომ თქვა, რომ ადვილია გიყვარდეს ის, ვისაც ჩვენ ვუყვარვართ. ეს ბოროტებსაც კი შეუძლიათ.  მაგრამ იესო ქრისტემ უფრო მაღალი კანონი მოგვიტანა. მისი სიტყვები საუკუნეების მანძილზე ექოსავით ჟღერს და ისინი დღესაც მნიშვნელოვანია ჩვენთვის. ისინი მნიშვნელოვანია ყოველი იმ ადამიანისთვის, ვისაც სურვილი აქვს იყოს მისი მოწაფე. ისინი მნიშვნელოვანია ჩემთვის და შენთვის. აი ეს სიტყვები: „ გიყვარდეთ თქვენი მტრები, დალოცეთ თქვენი მაწყევრები, სიკეთე უყავით თქვენს მოძულეებს და ილოცეთ მათთვის, ვინც თქვენ გავიწროებთ და გდევნით“. 10
When our hearts are filled with the love of God, we become “kind one to another, tenderhearted, forgiving [each other], even as God for Christ’s sake [forgave us].”	როცა ჩვენი გული ღვთის სიყვარულით სავსეა, ვიქნებით ერთმანეთისთვის კეთილნი, ნაწყენი და ერთმანეთს ვაპატიებთ, როგორც ღმერთმა ქრისტეს გამო გვაპატია.	როცა ჩვენი გული ღვთის სიყვარულით სავსეა, ჩვენ ვიქნებით მოწყალნი ერთმანეთისთვის, ნაზი გულები, ვპატიობთ ერთმანეთს, როგორც ღმერთმა ქრისტეს გამო მოგვპატია.	როცა ჩვენი გულები ღვთის სიყვარულითაა აღვსილი, ჩვენ ვართ „კეთილნი ერთიმეორის მიმართ, თანავუგრძნობთ და მივუტევებთ ერთმანეთს, როგორც ქრისტეში მოგვიტევა ჩვენ ღმერთმა“. 11
The pure love of Christ can remove the scales of resentment and wrath from our eyes, allowing us to see others the way our Heavenly Father sees us: as flawed and imperfect mortals who have potential and worth far beyond our capacity to imagine. Because God loves us so much, we too must love and forgive each other.	ქრისტეს სუფთა სიყვარულმა შეიძლება მოაშოროს ჩვენი თვალებიდან მრისხანებისა და რისხვის მასაჟები და დაგვცეთ საშუალება, სხვები ისე დავინახოთ, როგორც ჩვენი ზეციური მამა ჩვენ გვიყურებს. ისინი არიან უშეცდომო და არასრულყოფილები, რომლებსაც შესაძლებლობა აქვთ და მათი ღირებულება ბევრად აღემატება ჩვენს წარმოსახვაზე.	ქრისტეს სუფთა სიყვარულს შეუძლია, მოაშოროს ჩვენი თვალებიდან მრისხანებისა და რისხვის წონი, რათა ჩვენ შევძლოთ სხვებისადმი ისევე ვხედავდეთ, როგორც მამაზეციერი გვიყურებს: როგორც უხუცოდ და არასრულყოფილ ადამიანებს, რომლებსაც შეუძლიათ და იმსახურებენ იმაზე მეტს, ვიდრე წარმოიდგენთ. რადგან ღმერთი ძალიან გვიყვარს, ჩვენც უნდა ვუყვარდეთ ერთმანეთი და პატიოთ ერთმანეთს.	ქრისტეს წმინდა სიყვარულს შეუძლია მოგვაცილოს თვალებიდან წყენისა და წყრომის ქერცლი და დაგვანახოს სხვები მამაზეციერის თვალებით: ნაკლის მქონე, არასრულყოფილი მოკვდავი არსებები, რომლებსაც გააჩნიათ პოტენციალი და ღირსება, რომელიც აღემატება იმას, რისი წარმოდგენაც შეგვიძლია. ვინაიდან ჩვენ ვუყვარვართ ღმერთს, ჩვენც უნდა გვიყვარდეს ერთმანეთი და უნდა მივუტევებდეთ ერთმანეთს.
My dear brothers and sisters, consider the following questions as a self-test:	ძვირფასო ძმებო და დოძებო, შეამოწმეთ საკუთარი თავი შემდეგ კითხვებზე:	ძვირფასო ძმებო და ძმებო, შეამოწმეთ საკუთარი თავი შემდეგი კითხვებით:	ჩემო ძვიღფასო დებო და ძმებო, დაუსვით ქვემოთ მოყვანილი კითხვები საკუთარ თავს:
Do you harbor a grudge against someone else?	გქონია თუ არა მრისხანება სხვის მიმართ?	გქონია ვინმეზე ბრაზობა?	ხართ ვინმეზე გაბრაზებული?
Do you gossip, even when what you say may be true?	გიჟიყობთ თუნდაც მაშინ, როცა სიმართლე გითხრათ?	გიჟდებათ თუნდაც მაშინ, როცა შეიძლება სიმართლე გითხრათ?	ჭორაობთ, თუნდაც ნათქვამი სიმართლეს შეესაბამებოდეს?
Do you exclude, push away, or punish others because of something they have done?	გიშლის თუ არ მიაყენებთ სხვებს, ან არ უჯანსაღებთ მათ?	გიშლის სხვებს, უბიძგებთ მათ ან დასჯავთ მათ რაღაცის გამო?	იცავთ ვინმესთან დისტანციას, ან ხელს კრავთ, ან სჯით ვინმეს რაიმეს გამო?
Do you secretly envy another?	გყავხარ საიდუმლოდ სხვისი?	გირჩევთ, რომ სხვა ადამიანზე ღრმად ეჭვიანობდეთ?	ფარული შური ხომ არ გაქვთ ვიღაცის მიმართ?
Do you wish to cause harm to someone?	თჟკაქ ეა ნაოპაგთქ ნვღჲ?	თჟკაქ ეა ნაოპაგთქ ნა ნაოპაგთლწ?	უსურვებთ ვინმეს ცუდს?
If you answered yes to any of these questions, you may want to apply the two-word sermon from earlier: stop it!	თუ ამ კითხვებზე "დიახ" მიპასუხეთ, მაშინ შეიძლება, მოგიწიოთ გამოყენება ორი სიტყვიანი ქადაგება, რომელიც მოგვთხოვეთ: შეწყვიტეთ!	თუ ამ კითხვებზე დიახ უპასუხეთ, შეიძლება, მოგიწიოთ ორი სიტყვით აღნიშნული მოხსენება: შეწყვიტეთ ეს!	თუ ამ კითხვებიდან რომელიმეს „კი“ პასუხი გაეცით, თქვენ ზემოთ მოცემული ქადაგებიდან ერთი სიტყვა გეხებათ: შეჩერდით!
In a world of accusations and unfriendliness, it is easy to gather and cast stones. But before we do so, let us remember the words of the One who is our Master and model: “He that is without sin among you, let him first cast a stone.”	ამ სამყაროში, სადაც ბრალდებები და უმეგობრობაა, ადვილია ქვები შეკრიბოთ და დააგდოთ. მაგრამ მანამდე, მოდით გავიხსენოთ ის სიტყვები, რომელიც ჩვენი მასწავლებელი და მაგალითია:	ბრალდებებისა და უხუცურობის ამ სამყაროში ადვილია, აგროვოთ და ქვები დაგვყაროთ. მაგრამ მანამდე, მოდით გავიხსენოთ ჩვენი მასწავლებლის სიტყვები, რომელიც არის ჩვენი მაგალითი: ვინც თქვენგანს არ აქვს ცოდვა, მან ჯერ ქვა უნდა დააგროვოს.	ბრალდებებისა და მტრობის სამყაროში ადვილია ქვების შეგროვება და შემდეგ მათი სროლა, მაგრამ სანამ ამას ვიზამდეთ, მოდით გავიხსენოთ ჩვენი მაგალითისა და მასწავლებლის სიტყვები: „ვინც თქვენს შორის უცოდველია, პირველად მან დაჰკრას ქვა“.12
Brothers and sisters, let us put down our stones.	ძმებო და დებო, დავდოთ ქვები.	დებო და ძმებო, მოდით, დავდოთ ქვები.	დებო და ძმებო, მოდით დავყაროთ ქვები.
Let us be kind.	ეა ვ ეჲბპვ.	ეა ვ ეჲბპვ.	ვიყოთ კითილნი.
Let us forgive.	ეა ოჲპპევევევთ.	ეა თჱპატივქვმ.	მივუტევოთ.
Let us talk peacefully with each other.	ეა დჲგჲპთმ ჱაჳჲდ.	ეა დჲგჲპთმ თჳთ ნაპვრთნთ.	წყნარად ვესაუბროთ ერთმანეთს.
Let the love of God fill our hearts.	ღვთის სიყვარული ჩვენი გულებით დაავსოს.	დახურეთ ჩვენი გულები ღვთის სიყვარულით.	შემოუშვათ ღვთის სიყვარული გულებში.
“Let us do good unto all men.”	დავიკეთოთ კეთილი ყველასათვის.	მოდით, კეთილი ვქნათ ყველასთვის.	„სიკეთე გავუკეთოთ ყველას“.13
The Savior promised: “Give, and it shall be given unto you; good measure, pressed down, and shaken together, and running over. … For with the same measure that [you use] it shall be measured to you again.”	მაცხოვარი დაპირდა: "გაეცით და მოგცემთ. კარგი საზომი, დაწეული, დაფანტული და გადატვირთული. ... რადგან იგივე საზომი, რასაც [გამოყენებთ], თქვენც გაგიზომავთ.	მხსნელი აღთქმა: გაიღეთ და მოგცემთ. კარგი საზომი, გაწეული, გაჟღერებული და გაქცეული. ... რადგან იგივე საზომი, რომელსაც [გამოყენებთ], თქვენც მოგცემთ.	მაცხოვარი შეგვპირდა: „მიეცით და თქვენც მოგეცემათ: კარგი საწყაო, დატკეპნილი, გატენილი და პირთამდე სავსე. ... რადგან რომელი საწყაოთაც მიუწყავთ, იმავეთი მოგეწყვებათ“.14
Shouldn’t this promise be enough to always focus our efforts on acts of kindness, forgiveness, and charity instead of on any negative behavior?	არ უნდა იყოს ეს დაპირება საკმარისი იმისათვის, რომ ჩვენი ძალისხმევა ყოველთვის ყურადღება მივაქციოთ კეთილგანწყობის, პატიებისა და ქველმოქმედების ქმედებებზე, ნაცვლად რაიმე უარყოფით ქცევაზე?	არ უნდა იყოს ეს დაპირება საკმარისი, რათა ჩვენი ძალისხმევა ყოველთვის ყურადღება მივაქციოთ კეთილშობილობის, პატიებისა და ქველმოქმედების ქმედებებზე, ნაცვლად რაიმე უარყოფით ქცევაზე?	განა ამ დაპირებამ არ უნდა აღძრას ჩვენში სურვილი უარყოფითი საქციელის ნაცვლად ყოველთვის გვქონდეს ყურადღება გამახვილებული სიკეთეზე, მიტევებასა და მოწყალებაზე?
Let us, as disciples of Jesus Christ, return good for evil. Let us not seek revenge or allow our wrath to overcome us.	3. რა უნდა გავაკეთოთ, რომ ჩვენი მოღვაწეობა და ჩვენი მოღვაწეობა არ დაგვაღალოს?	მოდით, იესო ქრისტეს მოწაფეებად, ბოროტებას სიკეთის სანაცვლოდ, ნუ ვეძიებთ შურისძიებას და ნუ დავუშვებთ, რომ ჩვენი რისხვა მოგვიმარჯოს.	მოდით ჩვენ, როგორც ქრისტეს მოწაფეებმა, ბოროტებას სიკეთით ვუპასუხოთ.15 მოდით არ მივცეთ ნება წყრომას ან შურისძიებას მოგვერიოს ჩვენ.
“For it is written, Vengeance is mine; I will repay, saith the Lord.	რამეთუ წერილ არს: მე ვარ შურისძიება, მე ვიმსჯელებ, ამბობს უფალი.	რამეთუ წერილ არს: მე ვარ შურისძიება, მე აღვივსებ, ამბობს უფალი.	ვინაიდან წერია: ჩემია შურისგება და მე მივაგებ, – ამბობს უფალი.
“Therefore if thine enemy hunger, feed him; if he thirst, give him drink. …	უკუეთუ მტერი შენი მშიერი იყოს, მიჭამე იგი, უკუეთუ მწყურდეს, მიგცე იგი სასმელი.	რამეთუ თუ მტერი შენი შიმშილ არს, კვებ მას; თუ დაწყურდეს, სვამს მას. ...	ამიტომ, თუ შენი მტერი მშიერია, დააპურე იგი; თუ სწყურია, დაალევინე.  …
“Be not overcome of evil, but overcome evil with good.”	ნუ მოგეძლევა ბოროტება, არამედ ბოროტებას კეთილობით მოუგე.	ნუ მოგეძლევა ბოროტება, არამედ ბოროტებას დაგიმარჯოს კეთილობით.	არ დაგძლიოს ბოროტმა, არამედ სძლიე ბოროტს კეთილით.“16
Remember: in the end, it is the merciful who obtain mercy.	და გახსოვდეთ, რომ ბოლოს, მხოლოდ მოწყალეებს მიეწყალებათ.	და გახსოვდეთ, რომ ბოლოს და ბოლოს, მხოლოდ მოწყალეებს მოეწყალებათ.	გახსოვდეთ: სულ ბოლოს მოწყალენი შეწყალებულ იქნებიან.17
As members of The Church of Jesus Christ of Latter-day Saints, wherever we may be, let us be known as a people who “have love one to another.”	როგორც უკანასკნელი დღეების წმინდანთა იესო ქრისტეს ეკლესიის წევრები, ყველგან, სადაც ვიქნებით, უნდა ვიყოთ ცნობილი როგორც ხალხი, რომელსაც იყვარს ერთმანეთი.	როგორც უკანასკნელ დღეთა წმინდანთა იესო ქრისტეს ეკლესიის წევრები, ყველგან, სადაც არ უნდა ვიყოთ, უნდა ვიყოთ ცნობილი, როგორც ხალხი, რომელსაც სიყვარული ჰყავს ერთმანეთთან.	როგორც უკანასკნელი დღეების წმინდანთა იესო ქრისტეს ეკლესიის წევრები, სადაც არ ვიყოთ, ვიყოთ ცნობილნი როგორც ხალხი, რომელთაც “ერთმანეთის სიყვარული“18 გვაქვს.
Brothers and sisters, there is enough heartache and sorrow in this life without our adding to it through our own stubbornness, bitterness, and resentment.	ძმებო და ძმებო, ამ ცხოვრებაში საკმარისი ტკივილი და მწუხარებაა, რომ ჩვენ არ დავამატოთ მას საკუთარი თავმძიმეობით, მრისხანობით და მრისხანებით.	ძმებო და ძმებო, ამ ცხოვრებაში საკმარისია გულს ტკივილი და სევდა, რომ ჩვენ არ დავამატოთ იგი საკუთარი თავმძიმეობით, მრისხანებითა და მრისხანებით.	დებო და ძმებო, ამ ცხოვრებაში საკმარისი გულისტკივილი და მწუხარებაა, ამიტომ ნუ დავამატებთ მას ჩვენს ურჩობას, სიმწარეს და წყენას.
We are not perfect.	ნვ ვ ეჲბპვ.	ჩვენ არ ვართ იდეალური.	ჩვენ სრულყოფილნი არ ვართ.
The people around us are not perfect. People do things that annoy, disappoint, and anger. In this mortal life it will always be that way.	ადამიანები, რომლებიც ჩვენ გარშემო არიან, არ არიან სრულყოფილები. ადამიანები აკეთებენ რაღაცებს, რომლებიც გაღიზიანებს, იმედგაცრუებს და გაბრაზებას. ამ სიკვდილიან ცხოვრებაში ასე იქნება ყოველთვის.	ადამიანები, რომლებიც ჩვენთან არიან, არ არიან სრულყოფილნი. ადამიანები აკეთებენ რაღაცებს, რომლებიც გაღიზიანებს, იმედგაცრუებს და გაბრაზებას. ამ მიწიერი ცხოვრებაში ასე იქნება ყოველთვის.	ჩვენს ირგვლივ მყოფნიც არ არიან სრულყოფილნი. 19 ადამიანები სჩადიან გამაღიზიანებელ, გულდასაწყვეტ, გასაბრაზებელ საქციელს. ამ მიწიერ ცხოვრებაში სულ ასე იქნება.
Nevertheless, we must let go of our grievances. Part of the purpose of mortality is to learn how to let go of such things. That is the Lord’s way.	აჱ ჟრწჳჳჳ, ვწჳჳჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვწჳ, ვვ, ვწჳ, ვ, ვწჳ, ვ, ვ, ვწჳ, ვ, ვ, ვ, ვ, ვ, ვ, 	მიუხედავად ამისა, ჩვენ უნდა დავუშვათ ჩვენი საჩივრები. სიკვდილის მიზანი არის ისწავლოს, როგორ დავუშვათ ეს. ეს არის უფლის გზა.	მიუხედავად ყველაფრისა, უნდა მოვიცილოთ წყენა. მიწიერი ცხოვრების შემადგენელი ნაწილია შევიძინოთ ცოდნა იმაზე, თუ როგორ მოვიცილოთ ასეთი გრძნობები. ეს უფლის გზაა.
